25382,1050
22700,1007
319,1022
1620,1070
123,1004
9551,1057
12451,1098
12179,1000
5133,1030
7307,1013
14643,1086
29315,1098
28988,1023
5779,1023
8723,1037
32530,1004
3778,1032
28605,1097
27032,1020
25013,1025
19837,1055
2587,1010
24610,1037
30315,1025
8893,1003
3099,1027
31872,1032
32220,1030
25400,1064
7982,1090
157,1036
14774,1035
10159,1002
27781,1052
28242,1070
3723,1080
29338,1048
24610,1095
14406,1020
11483,1008
5909,1077
15004,1064
2155,1087
26811,1093
9240,1064
17935,1091
31932,1052
6341,1047
31336,1009
23671,1096
31520,1081
20757,1036
468,1097
20161,1093
8512,1036
30291,1055
30978,1077
1890,1011
24573,1047
28186,1022
5185,1064
12921,1028
21735,1098
1101,1080
12406,1046
1121,1004
26907,1031
11917,1064
24726,1029
20450,1085
7153,1099
26345,1004
31545,1089
20953,1071
5618,1057
17474,1051
9420,1095
17538,1048
22061,1031
7972,1052
32286,1072
23219,1008
14487,1008
6433,1021
11188,1098
2740,1009
24916,1023
16914,1020
568,1060
19531,1049
11992,1095
27739,1083
26346,1017
31996,1059
1497,1090
6188,1070
25258,1063
9984,1086
8077,1064
4125,1033
26414,1067
4430,1046
19274,1077
30223,1064
29838,1015
22969,1094
15373,1074
27283,1035
10488,1096
15063,1094
31598,1086
19259,1002
32227,1012
25978,1098
21702,1053
7271,1056
5591,1039
12545,1059
10581,1041
4051,1077
12239,1019
2658,1079
26358,1084
11747,1008
7752,1013
2124,1035
6479,1020
1128,1000
23359,1059
10061,1013
15662,1001
11386,1057
9706,1018
27087,1010
17506,1070
21296,1094
24750,1092
5863,1071
6101,1057
9143,1081
16992,1098
6345,1034
23723,1065
3544,1016
20925,1018
10565,1027
22589,1018
15204,1091
23343,1010
26739,1001
22237,1042
31494,1068
21241,1007
32755,1014
32428,1040
25715,1035
17997,1043
27199,1024
13562,1053
17295,1002
6929,1020
20248,1068
866,1075
27498,1013
23390,1066
25091,1007
27299,1033
15973,1047
14336,1072
3745,1014
4319,1067
14663,1019
31424,1015
20368,1007
13722,1061
15707,1013
4830,1074
15953,1009
7502,1091
27702,1073
3687,1075
9065,1088
8002,1026
31586,1049
23532,1052
23315,1068
17448,1073
30373,1020
18202,1066
17985,1014
1697,1028
4864,1017
15083,1035
18770,1091
20358,1011
7793,1023
6449,1011
12774,1005
9005,1015
1559,1020
11891,1022
12239,1099
31254,1004
31660,1088
16102,1063
29207,1089
28541,1089
18850,1027
24329,1011
4373,1037
13972,1039
17524,1077
17759,1002
19008,1066
5933,1095
32733,1030
13577,1009
7777,1074
14105,1097
7459,1009
7413,1016
2346,1007
18814,1072
156,1085
16859,1074
30404,1027
20206,1042
32013,1049
32584,1065
31579,1010
10551,1090
26747,1025
11473,1079
1715,1090
25131,1084
29483,1039
31297,1032
18108,1099
17949,1021
4489,1068
9800,1055
16241,1062
8523,1002
17952,1015
3005,1012
27267,1088
21240,1006
20122,1099
26279,1095
18451,1012
17840,1026
27448,1091
10256,1020
8066,1098
14843,1090
23538,1017
17457,1000
32233,1013
3704,1016
26387,1052
16977,1071
8132,1019
8773,1059
1395,1054
11669,1050
32266,1063
19640,1039
15520,1010
2228,1087
7481,1066
5786,1016
17807,1046
16246,1082
27421,1091
7340,1051
21786,1091
1219,1032
5006,1095
379,1013
22625,1083
31687,1087
25969,1090
27664,1072
6337,1030
9519,1019
317,1038
27786,1034
21955,1017
20019,1019
15147,1032
32690,1041
31554,1029
23964,1032
16286,1074
6757,1018
21004,1069
16756,1045
1845,1019
16737,1044
8100,1024
19968,1099
9639,1090
16071,1045
7589,1013
